,model_number,name,manufacturer,cores,tdp,base_frequency,socket,memory_type,ecc_Compatability,architecture,wattage,clock
108,7651,AMD Ryzen 5 2400GE with Radeon RX Vega 11 Graphics,amd,4,35,3200,AM4,DDR4,FALSE,x64,35,14
109,8221,AMD Ryzen 3 2300X,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,12
110,7226,AMD Ryzen 3 2200G with Radeon Vega 8 Graphics,amd,4,65,3500,AM4,DDR4,FALSE,x64,65,14
111,7646,AMD Ryzen 3 2200GE with Radeon Vega 8 Graphics,amd,4,35,3200,AM4,DDR4,FALSE,x64,35,14
112,8251,AMD Ryzen 7 2800H,amd,4,45,3300,FP5,,FALSE,x64,45,14
113,8256,AMD Ryzen 5 2600H,amd,4,45,3200,FP5,,FALSE,x64,45,14
114,5306,AMD Ryzen 7 2700U,amd,4,15,2200,FP5,DDR4,FALSE,x64,15,14
115,5311,AMD Ryzen 5 2500U,amd,4,15,2000,FP5,DDR4,FALSE,x64,15,14
116,7236,AMD Ryzen 3 2300U,amd,4,15,2000,FP5,DDR4,FALSE,x64,15,14
117,7231,AMD Ryzen 3 2200U,amd,2,15,2500,FP5,DDR4,FALSE,x64,15,14
118,2066,AMD Ryzen Threadripper 1950X,amd,16,180,3400,sTR4,DDR4,TRUE,x86,180,14
119,2061,AMD Ryzen Threadripper 1920X,amd,12,180,3500,sTR4,DDR4,TRUE,xarm,180,14
120,3011,AMD Ryzen Threadripper 1900X,amd,8,180,3800,sTR4,DDR4,FALSE,x64,180,14
121,1221,AMD Ryzen 7 1800X,amd,8,95,3600,AM4,DDR4,FALSE,x64,95,14
122,11241,AMD Ryzen 5 PRO 5650G,amd,6,65,3900,AM4,DDR4,FALSE,x64,65,7
123,11236,AMD Ryzen 5 PRO 5650GE,amd,6,35,3400,AM4,DDR4,FALSE,x64,35,7
124,1226,AMD Ryzen 7 1700X,amd,8,95,3400,AM4,DDR4,FALSE,x64,95,14
